City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Temp,Wind Speed
0,puerto ayora,40,EC,1580518661,74,-0.74,-90.35,79.21,16.11
1,bambous virieux,40,MU,1580518945,83,-20.34,57.76,76.96,6.93
2,vaini,75,TO,1580518945,83,-21.2,-175.2,84.2,11.41
3,guerrero negro,0,MX,1580518945,28,27.98,-114.06,72.21,8.86
4,dingle,98,PH,1580518945,85,11.0,122.67,73.17,12.15
5,acapulco,75,MX,1580518834,69,16.86,-99.89,82.4,9.17
6,busselton,0,AU,1580518870,32,-33.65,115.33,65.95,6.71
7,barrow,40,US,1580519116,75,71.29,-156.79,-20.2,4.7
8,tuktoyaktuk,20,CA,1580519116,67,69.45,-133.04,-27.4,9.17
9,mahebourg,40,MU,1580519116,83,-20.41,57.7,77.0,6.93
10,luena,97,AO,1580519046,98,-11.78,19.92,63.52,4.7
11,gimli,77,CA,1580519116,92,50.63,-96.99,25.0,7.0
12,albany,90,US,1580519113,68,42.6,-73.97,31.6,3.36
13,latung,90,PH,1580519116,78,5.5,120.88,81.01,14.07
14,namibe,100,AO,1580519117,88,-15.2,12.15,74.98,5.61
15,tyulyachi,96,RU,1580519117,86,55.89,50.24,30.2,4.47
16,curuguaty,16,PY,1580519117,87,-24.47,-55.69,73.29,2.84
17,ushuaia,40,AR,1580519093,66,-54.8,-68.3,55.4,18.34
18,hermanus,62,ZA,1580519117,93,-34.42,19.23,63.45,1.01
19,praia,0,CV,1580519054,41,14.92,-23.51,77.0,17.22
20,severnoye,79,RU,1580519118,97,56.35,78.36,-8.36,5.84
21,birao,18,CF,1580518925,16,10.28,22.79,64.33,8.3
22,saint-philippe,75,RE,1580519118,74,-21.36,55.77,74.41,12.75
23,hithadhoo,100,MV,1580519118,73,-0.6,73.08,81.66,12.1
24,bluff,100,NZ,1580519119,48,-46.6,168.33,70.09,9.71
25,damietta,0,EG,1580519119,71,31.42,31.81,55.4,11.41
26,tahlequah,90,US,1580519119,80,35.92,-94.97,43.23,4.27
27,atuona,15,PF,1580519119,72,-9.8,-139.03,81.66,16.71
28,grindavik,59,IS,1580519119,79,63.84,-22.43,26.96,14.99
29,great yarmouth,100,GB,1580519119,87,52.61,1.73,51.93,17.22
30,manzanillo,19,CU,1580519119,66,20.34,-77.12,78.96,3.58
31,ahipara,19,NZ,1580519120,85,-35.17,173.17,69.78,11.81
32,obidos,39,BR,1580519120,79,-1.92,-55.52,78.62,4.85
33,busca,0,IT,1580519120,90,44.52,7.47,39.49,1.12
34,new norfolk,75,AU,1580519120,82,-42.78,147.06,70.61,9.17
35,deputatskiy,100,RU,1580519120,91,69.3,139.9,-17.84,5.41
36,rafai,91,CF,1580519121,32,4.95,23.92,67.1,2.98
37,saurimo,85,AO,1580519121,87,-9.66,20.39,66.51,3.76
38,mataura,100,NZ,1580519121,54,-46.19,168.86,71.17,11.52
39,nyurba,90,RU,1580519121,97,63.28,118.33,-17.75,4.94
40,atar,0,MR,1580518926,11,20.52,-13.05,62.96,10.45
41,georgetown,20,MY,1580518912,88,5.41,100.34,78.49,3.36
42,kodiak,90,US,1580519121,62,57.79,-152.41,19.4,17.22
43,zhaozhou,97,CN,1580519121,96,45.68,125.32,0.86,6.8
44,meulaboh,85,ID,1580519122,69,4.14,96.13,81.9,2.35
45,vestmannaeyjar,38,IS,1580519122,67,63.44,-20.27,32.38,19.06
46,port shepstone,15,ZA,1580519122,86,-30.74,30.45,72.82,6.46
47,bredasdorp,68,ZA,1580519123,88,-34.53,20.04,64.67,1.12
48,porto torres,30,IT,1580519123,93,40.84,8.4,50.65,2.24
